nace_r2,raw_obs,min_year,max_year,usable_lagged_obs
A,30,1995,2024,29
A01,29,1995,2023,28
A02,29,1995,2023,28
A03,29,1995,2023,28
B,30,1995,2024,29
B-E,30,1995,2024,29
C,30,1995,2024,29
C10-C12,29,1995,2023,28
C13-C15,29,1995,2023,28
C16,29,1995,2023,28
C16-C18,29,1995,2023,28
C17,29,1995,2023,28
C18,29,1995,2023,28
C21,20,1995,2014,19
C22,29,1995,2023,28
C22_C23,29,1995,2023,28
C23,29,1995,2023,28
C24,29,1995,2023,28
C24_C25,29,1995,2023,28
C25,29,1995,2023,28
C26,20,1995,2014,19
C27,29,1995,2023,28
C28,29,1995,2023,28
C29,20,1995,2014,19
C29_C30,29,1995,2023,28
C30,20,1995,2014,19
C31-C33,29,1995,2023,28
C31_C32,29,1995,2023,28
C33,29,1995,2023,28
D,30,1995,2024,29
D35,29,1995,2023,28
E,30,1995,2024,29
E36,29,1995,2023,28
E37-E39,29,1995,2023,28
F,30,1995,2024,29
G,30,1995,2024,29
G-I,30,1995,2024,29
G45,29,1995,2023,28
G46,29,1995,2023,28
G47,29,1995,2023,28
H,30,1995,2024,29
H49,29,1995,2023,28
H50,29,1995,2023,28
H51,20,1995,2014,19
H52,20,1995,2014,19
H53,29,1995,2023,28
I,30,1995,2024,29
J,30,1995,2024,29
J58,20,1995,2014,19
J58-J60,20,1995,2014,19
J59_J60,20,1995,2014,19
J61,29,1995,2023,28
J62_J63,20,1995,2014,19
K,30,1995,2024,29
K64,29,1995,2023,28
K65,29,1995,2023,28
K66,29,1995,2023,28
L,30,1995,2024,29
L68,29,1995,2023,28
M,30,1995,2024,29
M69-M71,29,1995,2023,28
M69_M70,29,1995,2023,28
M71,29,1995,2023,28
M72,29,1995,2023,28
M73,29,1995,2023,28
M73-M75,29,1995,2023,28
M74_M75,29,1995,2023,28
M_N,30,1995,2024,29
N,30,1995,2024,29
N77,29,1995,2023,28
N78,29,1995,2023,28
N79,29,1995,2023,28
N80-N82,29,1995,2023,28
O,30,1995,2024,29
O-Q,30,1995,2024,29
O84,29,1995,2023,28
P,30,1995,2024,29
P85,29,1995,2023,28
Q,30,1995,2024,29
Q86,29,1995,2023,28
Q87_Q88,29,1995,2023,28
R,30,1995,2024,29
R-U,30,1995,2024,29
R90-R92,29,1995,2023,28
R93,29,1995,2023,28
S,30,1995,2024,29
S94,29,1995,2023,28
S95,29,1995,2023,28
S96,29,1995,2023,28
T,30,1995,2024,29
TOTAL,30,1995,2024,29
U,30,1995,2024,29
U99,29,1995,2023,28
